"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2019","359.71","359.02","360.03","357.31","219.85M","0.29%"
"01/31/2019","358.67","358.68","360.51","356.25","297.61M","0.04%"
"01/30/2019","358.51","356.72","359.03","356.64","188.88M","0.36%"
"01/29/2019","357.23","354.45","358.70","354.19","183.22M","0.80%"
"01/28/2019","354.38","357.01","357.26","354.03","178.00M","-0.97%"
"01/25/2019","357.84","357.28","358.76","357.28","202.90M","0.61%"
"01/24/2019","355.67","355.06","356.64","353.83","197.79M","0.22%"
"01/23/2019","354.89","354.49","356.86","352.97","192.07M","-0.06%"
"01/22/2019","355.09","355.49","356.51","353.74","195.75M","-0.36%"
"01/21/2019","356.36","356.39","356.43","355.58","138.95M","-0.19%"
"01/18/2019","357.05","351.98","357.29","351.98","260.62M","1.80%"
"01/17/2019","350.73","349.71","351.07","348.29","167.56M","0.04%"
"01/16/2019","350.59","349.92","350.93","348.82","206.30M","0.54%"
"01/15/2019","348.71","348.26","350.60","347.11","189.28M","0.35%"
"01/14/2019","347.51","348.27","348.27","345.86","168.22M","-0.48%"
"01/11/2019","349.20","349.03","350.18","347.74","179.86M","0.09%"
"01/10/2019","348.88","347.07","348.92","344.84","173.53M","0.34%"
"01/09/2019","347.70","346.87","349.81","346.79","214.41M","0.53%"
"01/08/2019","345.85","342.99","348.06","342.99","191.38M","0.87%"
"01/07/2019","342.88","344.03","344.75","341.38","180.41M","-0.15%"
"01/04/2019","343.38","335.47","343.90","335.47","193.70M","2.83%"
"01/03/2019","333.92","335.64","336.78","333.51","184.99M","-0.98%"
"01/02/2019","337.21","335.86","337.83","331.80","163.35M","-0.13%"
"12/31/2018","337.65","336.73","337.92","336.53","88.97M","0.42%"
"12/28/2018","336.23","330.57","336.92","330.57","156.94M","2.02%"
"12/27/2018","329.58","336.23","337.05","327.34","197.15M","-1.69%"
"12/24/2018","335.24","336.24","336.24","334.57","178.19M","-0.42%"
"12/21/2018","336.67","336.15","337.05","333.15","409.62M","0.03%"
"12/20/2018","336.58","339.45","339.45","335.41","256.99M","-1.45%"
"12/19/2018","341.52","340.42","342.49","340.42","219.25M","0.31%"
"12/18/2018","340.46","342.66","343.08","340.46","232.13M","-0.82%"
"12/17/2018","343.26","346.74","346.74","342.46","196.13M","-1.14%"
"12/14/2018","347.21","348.20","348.26","344.55","187.51M","-0.63%"
"12/13/2018","349.42","350.13","351.31","348.72","214.98M","-0.17%"
"12/12/2018","350.00","344.45","350.85","344.45","255.60M","1.69%"
"12/11/2018","344.18","340.66","346.82","340.66","219.42M","1.53%"
"12/10/2018","338.99","344.15","344.15","338.79","216.52M","-1.87%"
"12/07/2018","345.45","344.29","349.20","344.29","212.73M","0.62%"
"12/06/2018","343.31","352.59","352.59","342.53","274.86M","-3.09%"
"12/05/2018","354.27","357.39","357.39","354.00","187.67M","-1.16%"
"12/04/2018","358.43","360.72","360.98","358.36","202.79M","-0.76%"
"12/03/2018","361.18","359.56","364.89","359.56","226.58M","1.03%"
"11/30/2018","357.49","358.21","358.39","356.01","288.30M","-0.17%"
"11/29/2018","358.10","358.10","360.06","357.08","199.67M","0.20%"
"11/28/2018","357.39","358.01","359.20","357.10","208.56M","0.00%"
"11/27/2018","357.40","358.12","358.85","355.62","212.34M","-0.26%"
"11/26/2018","358.33","355.02","358.80","355.02","223.04M","1.23%"
"11/23/2018","353.98","352.46","354.20","351.36","163.02M","0.40%"
"11/22/2018","352.57","354.57","354.57","351.67","177.56M","-0.70%"
"11/21/2018","355.07","351.86","355.27","351.85","219.95M","1.14%"
"11/20/2018","351.06","354.30","354.30","349.29","239.16M","-1.14%"
"11/19/2018","355.11","358.24","360.27","355.01","196.78M","-0.73%"
"11/16/2018","357.71","358.90","361.40","355.63","242.90M","-0.20%"
"11/15/2018","358.43","362.30","364.01","356.00","259.89M","-1.06%"
"11/14/2018","362.27","363.38","365.45","359.92","225.55M","-0.60%"
"11/13/2018","364.44","362.73","365.26","361.72","234.17M","0.67%"
"11/12/2018","362.03","366.38","367.80","362.02","193.77M","-1.01%"
"11/09/2018","365.74","366.38","366.38","363.85","211.01M","-0.37%"
"11/08/2018","367.08","367.34","369.12","366.56","198.49M","0.19%"
"11/07/2018","366.39","363.30","367.12","363.30","201.13M","1.06%"
"11/06/2018","362.55","364.02","364.44","361.43","176.10M","-0.26%"
"11/05/2018","363.50","364.26","365.23","363.29","157.05M","-0.16%"
"11/02/2018","364.08","364.98","367.63","363.85","212.62M","0.28%"
"11/01/2018","363.08","361.73","364.70","361.11","240.11M","0.41%"
"10/31/2018","361.61","357.29","362.74","357.29","272.46M","1.71%"
"10/30/2018","355.53","355.77","356.89","352.78","212.39M","0.01%"
"10/29/2018","355.51","352.65","358.60","352.65","212.56M","0.90%"
"10/26/2018","352.34","354.55","354.55","348.44","245.52M","-0.77%"
"10/25/2018","355.07","351.94","355.11","349.58","254.83M","0.51%"
"10/24/2018","353.27","354.47","358.53","353.19","224.76M","-0.22%"
"10/23/2018","354.06","358.44","358.44","353.25","259.00M","-1.58%"
"10/22/2018","359.74","361.78","363.83","359.41","207.40M","-0.42%"
"10/19/2018","361.24","361.70","362.75","359.00","274.50M","-0.12%"
"10/18/2018","361.67","363.48","365.61","361.57","222.73M","-0.51%"
"10/17/2018","363.54","365.54","367.37","362.16","196.32M","-0.40%"
"10/16/2018","364.99","359.74","365.06","359.30","214.30M","1.58%"
"10/15/2018","359.31","358.72","359.67","356.34","179.79M","0.10%"
"10/12/2018","358.95","360.81","363.07","358.95","232.52M","-0.19%"
"10/11/2018","359.65","364.40","364.40","359.17","311.99M","-1.98%"
"10/10/2018","366.93","373.36","373.36","366.93","266.29M","-1.61%"
"10/09/2018","372.93","372.58","373.42","369.24","227.36M","0.19%"
"10/08/2018","372.21","376.09","376.09","371.97","196.73M","-1.12%"
"10/05/2018","376.41","379.83","379.83","376.28","202.94M","-0.86%"
"10/04/2018","379.68","383.61","383.61","379.15","225.35M","-1.08%"
"10/03/2018","383.84","382.16","384.76","382.16","210.14M","0.50%"
"10/02/2018","381.94","383.29","383.29","380.70","233.31M","-0.52%"
"10/01/2018","383.94","383.18","384.83","382.74","217.34M","0.20%"
"09/28/2018","383.18","385.97","385.97","381.82","282.73M","-0.83%"
"09/27/2018","386.38","384.71","386.62","382.71","191.14M","0.35%"
"09/26/2018","385.04","384.33","385.07","383.32","183.18M","0.30%"
"09/25/2018","383.89","382.23","384.33","382.23","196.79M","0.46%"
"09/24/2018","382.14","383.93","384.07","381.79","175.43M","-0.56%"
"09/21/2018","384.29","382.73","385.20","382.73","436.63M","0.43%"
"09/20/2018","382.63","379.90","382.86","379.84","243.99M","0.70%"
"09/19/2018","379.98","378.96","380.52","378.56","218.82M","0.33%"
"09/18/2018","378.73","378.18","379.53","377.05","195.07M","0.11%"
"09/17/2018","378.31","377.90","378.69","376.93","175.45M","0.12%"
"09/14/2018","377.85","377.01","378.24","376.74","156.34M","0.35%"
"09/13/2018","376.52","377.15","378.61","376.39","179.48M","-0.15%"
"09/12/2018","377.08","375.67","377.44","375.55","192.50M","0.47%"
"09/11/2018","375.31","375.56","375.99","373.49","175.76M","-0.05%"
"09/10/2018","375.51","374.04","376.46","373.66","198.44M","0.47%"
"09/07/2018","373.77","373.59","374.09","371.89","225.02M","0.08%"
"09/06/2018","373.47","375.19","376.36","373.45","199.84M","-0.59%"
