Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;BAU006__Gebaeude/Gebaeudeteile__Anzahl;FLC002__Nutzflaeche__1000_qm;FLC001__Wohnflaeche__1000_qm;WOHN01__Wohnungen__Anzahl
31141;Statistik des Bauabgangs;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;;Insgesamt;17359;7476;1945;24234
31141;Statistik des Bauabgangs;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBW01;  Wohngebäude mit 1 Wohnung;x;x;x;x
31141;Statistik des Bauabgangs;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBW02;  Wohngebäude mit 2 Wohnungen;x;x;x;x
31141;Statistik des Bauabgangs;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBW03UM;  Wohngebäude mit 3 oder mehr Wohnungen;x;x;x;x
31141;Statistik des Bauabgangs;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;WOHNHEIM;  Wohnheime;77;23;77;2633
31141;Statistik des Bauabgangs;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;WOHNGEBMETW;  Wohngebäude mit Eigentumswohnungen;-;-;-;-
31141;Statistik des Bauabgangs;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBANSTALT01;  Anstaltsgebäude;183;343;7;210
31141;Statistik des Bauabgangs;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBBUERO01;  Büro- und Verwaltungsgebäude;853;1097;30;347
31141;Statistik des Bauabgangs;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBBETRLW01;  Landwirtschaftliche Betriebsgebäude;2592;783;59;494
31141;Statistik des Bauabgangs;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBBETRNLW01;  Nichtlandwirtschaftliche Betriebsgebäude;4287;3605;111;1307
